AÑO,TRIMESTRE,PROVEEDOR,COD DEPARTAMENTO,DEPARTAMENTO,COD MUNICIPIO,MUNICIPIO,CABECERA MUNICIPAL,COD CENTRO POBLADO,CENTRO POBLADO,COBERTURA 2G,COBERTURA 3G,"COBERTURA HSPA+, HSPA+DC",COBERTUTA 4G,COBERTURA LTE,COBERTURA 5G
2021,2,AVANTEL S.A.S,27,CHOCÓ,27787.0,TADÓ,S,27787000.0,TADÓ,S,S,S,N,N,N
2022,3,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27372.0,JURADÓ,S,27372000.0,JURADÓ,S,S,S,S,N,N
2023,2,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27075.0,BAHÍA SOLANO,S,27075000.0,CIUDAD MÚTIS,S,S,S,S,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27150.0,CARMEN DEL DARIÉN,N,27150004.0,PUERTO LLERAS,N,N,N,N,N,N
2022,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,27,CHOCÓ,27099.0,BOJAYA,S,27099000.0,BELLAVISTA,N,S,S,N,N,N
2022,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,27,CHOCÓ,27075.0,BAHÍA SOLANO,S,27075000.0,CIUDAD MÚTIS,N,N,N,S,N,N
2023,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,27,CHOCÓ,27075.0,BAHÍA SOLANO,S,27075000.0,CIUDAD MÚTIS,N,N,N,S,N,N
2022,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,27,CHOCÓ,27600.0,RÍO QUITO,S,27600000.0,PAIMADÓ,N,N,N,S,N,N
2023,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,27,CHOCÓ,27430.0,MEDIO BAUDÓ,S,27430000.0,PUERTO MELUK,N,N,N,S,N,N
2022,2,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27006.0,ACANDÍ,S,27006000.0,ACANDÍ,S,S,S,S,N,N
2021,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,27,CHOCÓ,27660.0,SAN JOSÉ DEL PALMAR,S,27660000.0,SAN JOSÉ DEL PALMAR,N,N,N,S,N,N
2021,2,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27745.0,SIPÍ,S,27745000.0,SIPÍ,S,S,S,S,N,N
2022,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,27,CHOCÓ,27580.0,RÍO IRÓ,S,27580000.0,SANTA RITA,N,N,N,S,N,N
2021,4,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27800.0,UNGUÍA,N,27800003.0,SANTA MARÍA DEL DARIÉN,S,S,S,S,N,N
2022,2,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27250.0,EL LITORAL DEL SAN JUAN,N,0.0,PAPAYO,N,N,N,S,N,N
2022,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,27,CHOCÓ,27600.0,RÍO QUITO,S,27600000.0,PAIMADÓ,N,N,N,S,N,N
2021,4,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27099.0,BOJAYA,S,27099000.0,BELLAVISTA,S,S,S,S,N,N
2021,2,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27810.0,UNIÓN PANAMERICANA,N,27810001.0,EL PLAN DE RASPADURA,S,S,S,N,N,N
2023,1,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27580.0,RÍO IRÓ,N,0.0,SIN CENTRO POBLADO,N,N,N,S,N,N
2023,1,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27495.0,NUQUÍ,S,27495000.0,NUQUÍ,S,S,S,S,N,N
2023,1,PARTNERS TELECOM COLOMBIA SAS,27,CHOCÓ,27745.0,SIPÍ,S,27745000.0,SIPÍ,N,S,S,N,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27160.0,CÉRTEGUI,N,27160010.0,SAN JORGE,N,N,N,N,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27745.0,SIPÍ,N,27745001.0,CAÑAVERAL,N,N,N,N,N,N
2021,3,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27050.0,ATRATO,N,27050003.0,SAMURINDÓ,N,S,S,N,N,N
2022,3,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27495.0,NUQUÍ,S,27495000.0,NUQUÍ,S,S,S,S,N,N
2022,4,PARTNERS TELECOM COLOMBIA SAS,27,CHOCÓ,27425.0,MEDIO ATRATO,S,27425000.0,BETÉ,N,S,S,N,N,N
2021,4,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27075.0,BAHÍA SOLANO,S,27075000.0,CIUDAD MÚTIS,S,S,S,S,N,N
2022,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,27,CHOCÓ,27600.0,RÍO QUITO,S,27600000.0,PAIMADÓ,N,N,N,S,N,N
2023,3,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27001.0,QUIBDÓ,S,27001000.0,SAN FRANCISCO DE QUIBDO,N,S,S,S,N,N
2021,4,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27006.0,ACANDÍ,S,27006000.0,ACANDÍ,S,S,S,S,N,N
2023,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,27,CHOCÓ,27600.0,RÍO QUITO,S,27600000.0,PAIMADÓ,N,N,N,S,N,N
2021,3,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27099.0,BOJAYA,S,27099000.0,BELLAVISTA,S,S,S,N,N,N
2021,4,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27491.0,NÓVITA,S,27491000.0,NÓVITA,S,S,S,S,N,N
2023,1,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27800.0,UNGUÍA,N,27800008.0,MARRIAGA,N,N,N,S,N,N
2022,2,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27205.0,CONDOTO,S,27205000.0,CONDOTO,S,S,S,S,N,N
2021,4,PARTNERS TELECOM COLOMBIA SAS,27,CHOCÓ,27001.0,QUIBDÓ,S,27001000.0,SAN FRANCISCO DE QUIBDO,N,S,S,N,N,N
2021,2,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27491.0,NÓVITA,S,27491000.0,NÓVITA,S,S,S,S,N,N
2022,4,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27250.0,EL LITORAL DEL SAN JUAN,N,27250020.0,CHAPPIEN,N,N,N,S,N,N
2022,2,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27025.0,ALTO BAUDÓ,N,27025013.0,CHIGORODÓ,S,S,S,N,N,N
