AÑO,TRIMESTRE,PROVEEDOR,COD DEPARTAMENTO,DEPARTAMENTO,COD MUNICIPIO,MUNICIPIO,CABECERA MUNICIPAL,COD CENTRO POBLADO,CENTRO POBLADO,COBERTURA 2G,COBERTURA 3G,"COBERTURA HSPA+, HSPA+DC",COBERTUTA 4G,COBERTURA LTE,COBERTURA 5G
2021,3,COMUNICACION CELULAR S A COMCEL S A,47,MAGDALENA,47030.0,ALGARROBO,N,47030001.0,BELLA VISTA,S,S,S,N,N,N
2022,1,PARTNERS TELECOM COLOMBIA SAS,52,NARIÑO,52385.0,LA LLANADA,S,52385000.0,LA LLANADA,N,S,S,N,N,N
2022,4,COLOMBIA MOVIL  S.A ESP,76,VALLE DEL CAUCA,76520.0,PALMIRA,N,76520025.0,POTRERILLO,N,S,S,S,N,N
2023,1,COMUNICACION CELULAR S A COMCEL S A,25,CUNDINAMARCA,25758.0,SOPÓ,N,25758009.0,GRATAMIRA,S,S,S,S,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,19,CAUCA,19455.0,MIRANDA,N,19455005.0,ORTIGAL,N,N,N,N,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27050.0,ATRATO,N,27050006.0,SAN JOSÉ DE PURRÉ,N,N,N,N,N,N
2023,2,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23660.0,SAHAGÚN,N,23660015.0,AGUAS VIVAS,S,S,S,N,N,N
2021,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,54,NORTE DE SANTANDER,54820.0,TOLEDO,S,54820001.0,TOLEDO,S,S,N,N,N,N
2022,1,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23855.0,VALENCIA,N,23855016.0,MANZANARES,S,S,S,N,N,N
2021,4,AVANTEL S.A.S,73,TOLIMA,73504.0,ORTEGA,S,73504000.0,ORTEGA,S,S,S,S,N,N
2022,1,COMUNICACION CELULAR S A COMCEL S A,47,MAGDALENA,47245.0,EL BANCO,N,47245001.0,AGUAESTRADA,S,N,N,N,N,N
2021,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,27,CHOCÓ,27150.0,CARMEN DEL DARIÉN,S,27150000.0,CURBARADÓ,N,S,N,S,N,N
2021,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,76,VALLE DEL CAUCA,76616.0,RIOFRÍO,N,76616009.0,SALÓNICA,N,N,N,N,N,N
2022,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,73,TOLIMA,73001.0,IBAGUÉ,N,73001027.0,PASTALES NUEVO,S,N,N,N,N,N
2022,2,COMUNICACION CELULAR S A COMCEL S A,95,GUAVIARE,95001.0,SAN JOSÉ DEL GUAVIARE,N,95001039.0,SANTO DOMINGO,S,S,S,S,N,N
2021,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,52,NARIÑO,52385.0,LA LLANADA,S,52385000.0,LA LLANADA,N,S,S,N,N,N
2023,3,COLOMBIA MOVIL  S.A ESP,76,VALLE DEL CAUCA,76520.0,PALMIRA,N,76520002.0,AMAIME,N,S,S,S,N,N
2021,4,COMUNICACION CELULAR S A COMCEL S A,54,NORTE DE SANTANDER,54239.0,DURANIA,N,54239007.0,LAS AGUADAS,S,S,S,S,N,N
2023,1,COLOMBIA MOVIL  S.A ESP,13,BOLÍVAR,13442.0,MARÍA LA BAJA,S,13442000.0,MARÍA LA BAJA,N,S,S,S,N,N
2021,3,COMUNICACION CELULAR S A COMCEL S A,5,ANTIOQUIA,5670.0,SAN ROQUE,N,5670003.0,SAN JOSÉ DEL NUS,S,S,S,N,N,N
2021,2,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23079.0,BUENAVISTA,S,23079000.0,BUENAVISTA,S,S,S,S,N,N
2023,2,COMUNICACION CELULAR S A COMCEL S A,11,BOGOTÁ D.C.,11001.0,"BOGOTÁ, D.C.",N,11001008.0,SAN JUAN,S,S,S,N,N,N
2022,2,COLOMBIA MOVIL  S.A ESP,76,VALLE DEL CAUCA,76233.0,DAGUA,N,76233011.0,EL QUEREMAL,S,S,S,S,N,N
2021,4,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23466.0,MONTELÍBANO,N,23466008.0,PICA PICA,S,N,N,N,N,N
2021,4,PARTNERS TELECOM COLOMBIA SAS,66,RISARALDA,66400.0,LA VIRGINIA,S,66400000.0,LA VIRGINIA,N,S,S,N,N,N
2022,3,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23001.0,MONTERÍA,N,23001041.0,ENSENADA DE LA HAMACA,S,S,S,N,N,N
2023,1,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27250.0,EL LITORAL DEL SAN JUAN,N,27250021.0,BURUJÓN,N,N,N,S,N,N
2022,3,COMUNICACION CELULAR S A COMCEL S A,25,CUNDINAMARCA,25317.0,GUACHETÁ,S,25317000.0,GUACHETÁ,S,S,S,S,N,N
2023,3,COMUNICACION CELULAR S A COMCEL S A,52,NARIÑO,52001.0,PASTO,N,52001053.0,MOCONDINO,S,S,S,S,N,N
2022,3,COMUNICACION CELULAR S A COMCEL S A,99,VICHADA,99773.0,CUMARIBO,N,99773020.0,EL PROGRESO,S,N,N,N,N,N
2022,2,AVANTEL S.A.S,52,NARIÑO,52210.0,CONTADERO,S,52210000.0,CONTADERO,S,S,S,N,N,N
2021,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,17,CALDAS,17877.0,VITERBO,S,17877000.0,VITERBO,S,S,S,S,N,N
2023,2,COMUNICACION CELULAR S A COMCEL S A,13,BOLÍVAR,13244.0,EL CARMEN DE BOLÍVAR,N,13244017.0,SANTO DOMINGO DE MEZA,S,S,S,S,N,N
2023,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,25,CUNDINAMARCA,25612.0,RICAURTE,N,25612006.0,SAN MARCOS POBLADO,S,N,N,N,N,N
2022,1,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,23,CÓRDOBA,23660.0,SAHAGÚN,N,23660003.0,CATALINA,S,S,S,N,N,N
2022,3,COMUNICACION CELULAR S A COMCEL S A,50,META,50573.0,PUERTO LÓPEZ,N,50573006.0,PUERTO GUADALUPE,S,S,S,S,N,N
2022,4,COLOMBIA MOVIL  S.A ESP,8,ATLÁNTICO,8685.0,SANTO TOMÁS,S,8685000.0,SANTO TOMÁS,N,S,S,S,N,N
2021,3,COMUNICACION CELULAR S A COMCEL S A,68,SANTANDER,68689.0,SAN VICENTE DE CHUCURÍ,S,68689000.0,SAN VICENTE DE CHUCURÍ,S,S,S,S,N,N
2022,3,PARTNERS TELECOM COLOMBIA SAS,15,BOYACÁ,15861.0,VENTAQUEMADA,S,15861000.0,VENTAQUEMADA,N,S,S,S,N,N
