AÑO,TRIMESTRE,PROVEEDOR,COD DEPARTAMENTO,DEPARTAMENTO,COD MUNICIPIO,MUNICIPIO,CABECERA MUNICIPAL,COD CENTRO POBLADO,CENTRO POBLADO,COBERTURA 2G,COBERTURA 3G,"COBERTURA HSPA+, HSPA+DC",COBERTUTA 4G,COBERTURA LTE,COBERTURA 5G
2019,4,COMUNICACION CELULAR S A COMCEL S A,5,ANTIOQUIA,5686.0,SANTA ROSA DE OSOS,N,5686001.0,ARAGÓN,S,S,S,N,S,N
2023,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,25,CUNDINAMARCA,25295.0,GACHANCIPÁ,S,25295000.0,GACHANCIPÁ,S,S,S,S,N,N
2016,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,17,CALDAS,17272.0,FILADELFIA,S,17272001.0,FILADELFIA,S,S,S,N,N,N
2023,2,PARTNERS TELECOM COLOMBIA SAS,52,NARIÑO,52250.0,EL CHARCO,S,52250000.0,EL CHARCO,N,S,S,S,N,N
2020,1,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,76895.0,ZARZAL,S,76895001.0,ZARZAL,S,S,S,N,S,N
2017,4,COMUNICACION CELULAR S A COMCEL S A,20,CESAR,20013.0,AGUSTÍN CODAZZI,N,0.0,SICARARE,N,N,N,N,N,N
2020,4,COMUNICACION CELULAR S A COMCEL S A,52,NARIÑO,52835.0,TUMACO - SAN ANDRES DE TUMACO,N,52835148.0,TABLÓN DULCE LA PAMPA,N,N,N,N,N,N
2018,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,8,ATLÁNTICO,8520.0,PALMAR DE VARELA,S,8520001.0,PALMAR DE VARELA,N,N,N,N,S,N
2016,1,COMUNICACION CELULAR S A COMCEL S A,47,MAGDALENA,47703.0,SAN ZENÓN,S,47703001.0,SAN ZENÓN,S,S,S,N,N,N
2015,4,COMUNICACION CELULAR S A COMCEL S A,18,CAQUETA,18150.0,CARTAGENA DEL CHAIRÁ,S,18150001.0,CARTAGENA DEL CHAIRÁ,S,S,N,N,N,N
2020,2,AVANTEL S.A.S,15,BOYACÁ,15223.0,CUBARÁ,S,15223001.0,CUBARÁ,N,N,N,N,N,N
2022,1,COMUNICACION CELULAR S A COMCEL S A,19,CAUCA,19573.0,PUERTO TEJADA,S,19573000.0,PUERTO TEJADA,S,S,S,S,N,N
2018,1,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,76364.0,JAMUNDÍ,N,76364003.0,GUACHINTE,N,N,N,N,N,N
2018,1,COMUNICACION CELULAR S A COMCEL S A,5,ANTIOQUIA,5206.0,CONCEPCIÓN,S,5206001.0,CONCEPCIÓN,S,S,S,N,S,N
2017,4,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23417.0,LORICA,N,23417019.0,EL RODEO,S,S,S,N,N,N
2022,1,COMUNICACION CELULAR S A COMCEL S A,5,ANTIOQUIA,5664.0,SAN PEDRO DE LOS MILAGROS,S,5664000.0,SAN PEDRO DE LOS MILAGROS,S,S,S,S,N,N
2020,2,COMUNICACION CELULAR S A COMCEL S A,11,BOGOTÁ D.C.,11001.0,"BOGOTÁ, D.C.",N,0.0,SANTO DOMINGO,S,S,S,N,N,N
2021,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,15,BOYACÁ,15238.0,DUITAMA,S,15238000.0,DUITAMA,S,S,N,S,N,N
2022,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,54,NORTE DE SANTANDER,54405.0,LOS PATIOS,S,54405000.0,LOS PATIOS,S,S,S,S,N,N
2018,3,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23672.0,SAN ANTERO,N,23672013.0,EL PROGRESO,N,N,N,N,N,N
2016,2,COMUNICACION CELULAR S A COMCEL S A,13,BOLÍVAR,13580.0,REGIDOR,S,13580001.0,REGIDOR,S,S,S,N,S,N
2016,2,COMUNICACION CELULAR S A COMCEL S A,20,CESAR,20001.0,VALLEDUPAR,N,0.0,EL MANGÓN,N,N,N,N,N,N
2016,1,COMUNICACION CELULAR S A COMCEL S A,52,NARIÑO,52520.0,FRANCISCO PIZARRO,N,52520007.0,BOCA DE CURAY,N,N,N,N,N,N
2020,4,COMUNICACION CELULAR S A COMCEL S A,41,HUILA,41006.0,ACEVEDO,N,41006005.0,SAN MARCOS,N,N,N,N,N,N
2021,3,AVANTEL S.A.S,17,CALDAS,17013.0,AGUADAS,S,17013000.0,AGUADAS,S,S,S,S,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,13,BOLÍVAR,13654.0,SAN JACINTO,N,13654007.0,PARAÍSO,S,S,N,N,N,N
2017,4,COMUNICACION CELULAR S A COMCEL S A,17,CALDAS,17088.0,BELALCÁZAR,S,17088001.0,BELALCÁZAR,S,S,S,N,S,N
2015,4,ALMACENES EXITO INVERSIONES S.A.S.,50,META,50006.0,ACACÍAS,S,50006001.0,ACACÍAS,S,S,S,N,N,N
2020,1,COMUNICACION CELULAR S A COMCEL S A,47,MAGDALENA,47318.0,GUAMAL,N,47318020.0,LA CEIBA,S,N,N,N,N,N
2022,3,COMUNICACION CELULAR S A COMCEL S A,44,LA GUAJIRA,44650.0,SAN JUAN DEL CESAR,N,44650007.0,GUAYACANAL,S,S,S,S,N,N
2020,4,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,76895.0,ZARZAL,N,76895008.0,ESTACIÓN CAICEDONIA,N,N,N,N,N,N
2015,4,COMUNICACION CELULAR S A COMCEL S A,52,NARIÑO,52835.0,TUMACO - SAN ANDRES DE TUMACO,N,52835087.0,PULGANDE,S,N,N,N,N,N
2018,1,COMUNICACION CELULAR S A COMCEL S A,52,NARIÑO,52520.0,FRANCISCO PIZARRO,N,0.0,VICTOR CALONGE,N,N,N,N,N,N
